Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4
Albania,ALB,7888,7868.5,7849,7829.5,7810,7790.5,7771,7751.5,7732,7712.5,7693,7705.77,7718.54,7731.31,7744.08,7756.85,7769.62,7782.39,7795.16,7807.93,7820.7,7834.935,7849.17,7863.405,7877.64,7891.875,7891.8,7889.025,7889,7889,7889,7889
Algeria,DZA,16670,16582,16494,16406,16318,16230,16142,16054,15966,15878,15790,16129,16468,16807,17146,17485,17824,18163,18502,18841,19180,19256,19332,19408,19484,19560,19560,19430,19300,19390,19490,19583.333
American Samoa,ASM,180.7,180.36,180.02,179.68,179.34,179,178.66,178.32,177.98,177.64,177.3,177,176.7,176.4,176.1,175.8,175.5,175.2,174.9,174.6,174.3,174,173.7,173.4,173.1,172.8,172.5,172.2,171.9,171.6,171.3,171
Andorra,AND,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Angola,AGO,792627.8,791073.63,789519.46,787965.29,786411.12,784856.95,783302.78,781748.61,780194.44,778640.27,777086.1,771535.49,765984.88,760434.27,754883.66,749333.05,743782.44,738231.83,732681.22,727130.61,721580,716029.38,710478.76,704928.14,699377.52,693826.9,688276.2,682725.7,677175.1,671624.4,666073.8,660523.133
Antigua and Barbuda,ATG,101.1,100.44,99.78,99.12,98.46,97.8,97.14,96.48,95.82,95.16,94.5,93.83,93.16,92.49,91.82,91.15,90.48,89.81,89.14,88.47,87.8,87.14,86.48,85.82,85.16,84.5,83.8,83.2,82.5,81.8,81.2,80.533
Argentina,ARG,352040,350214,348388,346562,344736,342910,341084,339258,337432,335606,333780,330616,327452,324288,321124,317960,314796,311632,308468,305304,302140,299906,297672,295438,293204,290970,290100,288990,287910,286810,285730,284636.667
Armenia,ARM,,,3343.12,3341.03,3338.94,3336.85,3334.76,3332.67,3330.58,3328.49,3326.4,3324.32,3322.24,3320.16,3318.08,3316,3313.92,3311.84,3309.76,3307.68,3305.6,3303.52,3301.44,3299.36,3297.28,3295.2,3293.1,3291,3288.9,3286.8,3284.7,3282.6
Aruba,ABW,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Australia,AUS,1338822,1336753.9,1334685.8,1332617.7,1330549.6,1328481.5,1326413.4,1324345.3,1322277.2,1320209.1,1318141,1315873,1313605,1311337,1309069,1306801,1304533,1302265,1299997,1297729,1295461,1302557.8,1309654.6,1316751.4,1323848.2,1330945,1340372,1340174,1340051,1340051,1340051,1340051
Austria,AUT,37756.7,37819.17,37881.64,37944.11,38006.58,38069.05,38131.52,38193.99,38256.46,38318.93,38381.4,38406.46,38431.52,38456.58,38481.64,38506.7,38531.76,38556.82,38581.88,38606.94,38632,38667.98,38703.96,38739.94,38775.92,38811.9,38847.9,38883.8,38919.7,38955.6,38991.5,39027.4
Azerbaijan,AZE,,,9532.36,9574.84,9617.32,9659.8,9702.28,9744.76,9787.24,9829.72,9872.2,9917.475,9962.749,10008.024,10053.298,10098.573,10143.848,10189.122,10234.397,10279.671,10324.946,10415.731,10506.515,10597.3,10688.085,10778.87,10874.752,10971.848,11087.15,11202.4,11317.7,11432.967
"Bahamas, The",BHS,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6,5098.6
Bahrain,BHR,2.2,2.35,2.5,2.65,2.8,2.95,3.1,3.25,3.4,3.55,3.7,3.85,4,4.15,4.3,4.45,4.6,4.75,4.9,5.05,5.2,5.36,5.52,5.68,5.84,6,6.2,6.4,6.6,6.8,7,7.2
Bangladesh,BGD,19203.3,19203.298,19203.296,19203.294,19203.292,19203.29,19203.289,19203.287,19203.285,19203.283,19203.281,19171.295,19139.309,19107.323,19075.337,19043.351,19011.365,18979.379,18947.393,18915.406,18883.42,18873.536,18863.652,18853.768,18843.884,18834,18834,18834,18834,18834,18834,18834
Barbados,BRB,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
Belarus,BLR,,,78786,79279,79772,80265,80758,81251,81744,82237,82730,83087,83444,83801,84158,84515,84872,85229,85586,85943,86300,86307,86314,86321,86328,86335,87096,87241,87386,87531,87676,87821
Belgium,BEL,,,,,,,,,,,6673,6695.57,6718.14,6740.71,6763.28,6785.85,6808.42,6830.99,6853.56,6876.13,6898.7,6897.56,6896.42,6895.28,6894.14,6893,6893,6893,6893,6893,6893,6893
Belize,BLZ,16000.3,15859.57,15718.84,15578.11,15437.38,15296.65,15155.92,15015.19,14874.46,14733.73,14593,14525.09,14457.18,14389.27,14321.36,14253.45,14185.54,14117.63,14049.72,13981.81,13913.9,13796.78,13679.66,13562.54,13445.42,13328.3,13216.8,13105.2,12993.7,12882.1,12770.5,12658.9
Benin,BEN,48351.5,47651.5,46951.5,46251.5,45551.5,44851.5,44151.5,43451.5,42751.5,42051.5,41351.5,40851.5,40351.5,39851.5,39351.5,38851.5,38351.5,37851.5,37351.5,36851.5,36351.5,35851.5,35351.5,34851.5,34351.5,33851.5,33351.5,32851.5,32351.5,31851.5,31351.5,30851.5
Bermuda,BMU,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bhutan,BTN,25067.2,25166.48,25265.76,25365.04,25464.32,25563.6,25662.88,25762.16,25861.44,25960.72,26060,26159.29,26258.58,26357.87,26457.16,26556.45,26655.74,26755.03,26854.32,26953.61,27052.9,27072.68,27092.46,27112.24,27132.02,27151.8,27171.6,27191.4,27211.2,27231,27250.8,27270.6
Bolivia,BOL,578047.2,575343.87,572640.54,569937.21,567233.88,564530.55,561827.22,559123.89,556420.56,553717.23,551013.9,548998.52,546983.14,544967.76,542952.38,540937,538921.62,536906.24,534890.86,532875.48,530860.1,528742.52,526624.94,524507.36,522389.78,520272.2,517506.8,514922.2,512532.4,510337.6,508337.6,506207.733
Bosnia and Herzegovina,BIH,,,21903.3,21804.95,21706.6,21608.25,21509.9,21411.55,21313.2,21214.85,21116.5,21107.51,21098.52,21089.53,21080.54,21071.55,21062.56,21053.57,21044.58,21035.59,21026.6,21142.28,21257.96,21373.64,21489.32,21605,21765.1,21879.1,21879.1,21879.1,21879.1,21879.1
Botswana,BWA,188037,186854,185671,184488,183305,182122,180939,179756,178573,177390,176207,175024,173841,172658,171475,170292,169109,167926,166743,165560,164377,163194,162011,160828,159645,158462,157279,156096,154913,153730,152547,151364
Brazil,BRA,5888980,5851170.6,5813361.2,5775551.8,5737742.4,5699933,5662123.6,5624314.2,5586504.8,5548695.4,5510886,5471378.1,5431870.2,5392362.3,5352854.4,5313346.5,5273838.6,5234330.7,5194822.8,5155314.9,5115807,5100415.2,5085023.4,5069631.6,5054239.8,5038848,5020821,5000916,4990514,4977985,4966196,4953913.667
British Virgin Islands,VGB,37.1,37.06,37.02,36.98,36.94,36.9,36.86,36.82,36.78,36.74,36.7,36.67,36.64,36.61,36.58,36.55,36.52,36.49,36.46,36.43,36.4,36.36,36.32,36.28,36.24,36.2,36.2,36.2,36.2,36.2,36.2,36.2
Brunei Darussalam,BRN,4130,4114,4098,4082,4066,4050,4034,4018,4002,3986,3970,3953,3936,3919,3902,3885,3868,3851,3834,3817,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
Bulgaria,BGR,33270,33318,33366,33414,33462,33510,33558,33606,33654,33702,33750,34112,34474,34836,35198,35560,35922,36284,36646,37008,37370,37562,37754,37946,38138,38330,38410,38540,38670,38800,38930,39060
Burkina Faso,BFA,77166,76665.9,76165.8,75665.7,75165.6,74665.5,74165.4,73665.3,73165.2,72665.1,72165,71665,71165,70665,70165,69665,69165,68665,68165,67665,67165,66664.8,66164.6,65664.4,65164.2,64664,64164,63664,63164,62664,62164,61664
Burundi,BDI,2764.8,2682.26,2599.72,2517.18,2434.64,2352.1,2269.56,2187.02,2104.48,2021.94,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,1939.4,2110.8,2282.2,2453.6,2625,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4,2796.4
Cabo Verde,CPV,153.8,178.14,202.48,226.82,251.16,275.5,299.84,324.18,348.52,372.86,397.2,400.2,403.2,406.2,409.2,412.2,415.2,418.2,421.2,424.2,427.2,430.2,433.2,436.2,439.2,442.2,445.2,448.2,451.2,454.2,457.2,460.2
Cambodia,KHM,110047.9,109824.11,109600.32,109376.53,109152.74,108928.95,108705.16,108481.37,108257.58,108033.79,107810,107618.23,107426.46,107234.69,107042.92,106851.15,106659.38,106467.61,106275.84,106084.07,105892.3,102407.48,98922.66,95437.84,91953.02,88468.2,86911.3,85354.4,83797.5,82240.6,80683.7,79126.8
Cameroon,CMR,225000,224097.49,223194.98,222292.47,221389.96,220487.45,219584.94,218682.43,217779.92,216877.41,215974.9,215277.89,214580.88,213883.87,213186.86,212489.85,211792.84,211095.83,210398.82,209701.81,209004.8,208444.8,207884.8,207324.8,206764.8,206204.8,205644.8,205084.8,204524.8,203964.8,203404.8,202844.8
Canada,CAN,3482729.3,3482258.34,3481787.38,3481316.42,3480845.46,3480374.5,3479903.54,3479432.58,3478961.62,3478490.66,3478019.7,3477539.94,3477060.18,3476580.42,3476100.66,3475620.9,3475141.14,3474661.38,3474181.62,3473701.86,3473222.1,3472809.1,3472396.1,3471983.1,3471570.1,3471157.1,3470760.4,3470390.5,3470020.7,3469650.8,3469281,3468911.133
Cayman Islands,CYM,131.3,131.1,130.9,130.7,130.5,130.3,130.1,129.9,129.7,129.5,129.3,129.09,128.88,128.67,128.46,128.25,128.04,127.83,127.62,127.41,127.2,127.2,127.2,127.2,127.2,127.2,127.2,127.2,128.1,127.2,127.2,126.6
Central African Republic,CAF,232030,231730,231430,231130,230830,230530,230230,229930,229630,229330,229030,228730,228430,228130,227830,227530,227230,226930,226630,226330,226030,225730,225430,225130,224830,224530,224230,223930,223630,223330,223030,222730
Chad,TCD,67300,66923,66546,66169,65792,65415,65038,64661,64284,63907,63530,62707,61884,61061,60238,59415,58592,57769,56946,56123,55300,54020,52740,51460,50180,48900,47690,46510,45350,44220,43130,42013.333
Channel Islands,CHI,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.49,8.68,8.87,9.06,9.25,9.44,9.63,9.82,10.01,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
Chile,CHL,152460.5,153031.51,153602.52,154173.53,154744.54,155315.55,155886.56,156457.57,157028.58,157599.59,158170.6,159078.8,159987,160895.2,161803.4,162711.6,163619.8,164528,165436.2,166344.4,167252.6,168994.24,170735.88,172477.52,174219.16,175960.8,177190.1,178419.4,179648.7,180878,182107,183336.2
China,CHN,1571405.9,1591265.86,1611125.82,1630985.78,1650845.74,1670705.7,1690565.66,1710425.62,1730285.58,1750145.54,1770005.5,1793615.33,1817225.16,1840834.99,1864444.82,1888054.65,1911664.48,1935274.31,1958884.14,1982493.97,2006103.8,2025471.54,2044839.28,2064207.02,2083574.76,2102942.5,2124598.67,2143394.7,2162190.4,2180986.1,2199781.8,2218577.5
Colombia,COL,649581.4,647358.76,645136.12,642913.48,640690.84,638468.2,636245.56,634022.92,631800.28,629577.64,627355,625427.29,623499.58,621571.87,619644.16,617716.45,615788.74,613861.03,611933.32,610005.61,608077.9,606731.64,605385.38,604039.12,602692.86,601346.6,599594.9,597397.7,595404.8,593412,591419.1,589426.267
Comoros,COM,460.6,456.22,451.84,447.46,443.08,438.7,434.32,429.94,425.56,421.18,416.8,412.42,408.04,403.66,399.28,394.9,390.52,386.14,381.76,377.38,373,368.62,364.24,359.86,355.48,351.1,346.7,342.3,338,333.6,329.2,324.8
"Congo, Dem. Rep.",COD,1506290,1499560,1492830,1486100,1479370,1472640,1465910,1459180,1452450,1445720,1438990,1432260,1425530,1418800,1412070,1405340,1398610,1391880,1385150,1378420,1371690,1360676.24,1349662.48,1338648.72,1327634.96,1316621.2,1305607.4,1294593.7,1283579.9,1272566.1,1261552.4,1250538.633
"Congo, Rep.",COG,223150,223030,222910,222790,222670,222550,222430,222310,222190,222070,221950,221830,221710,221590,221470,221350,221230,221110,220990,220870,220750,220630,220510,220390,220270,220150,220030,219910,219760,219610,219460,219310
Costa Rica,CRI,29074,29023.82,28973.64,28923.46,28873.28,28823.1,28772.92,28722.74,28672.56,28622.38,28572.2,28586.18,28600.16,28614.14,28628.12,28642.1,28656.08,28670.06,28684.04,28698.02,28712,28875.66,29039.32,29202.98,29366.64,29530.3,29694,29857.7,30021.3,30185,30348.7,30512.4
Cote d'Ivoire,CIV,78508.6,75752.19,72995.78,70239.37,67482.96,64726.55,61970.14,59213.73,56457.32,53700.91,50944.5,49815.63,48686.76,47557.89,46429.02,45300.15,44171.28,43042.41,41913.54,40784.67,39655.8,38526.94,37398.08,36269.22,35140.36,34011.5,32882.6,31753.7,30624.8,29496,28367.1,27238.267
Croatia,HRV,,,18570,18605,18640,18675,18710,18745,18780,18815,18850,18885,18920,18955,18990,19025,19060,19095,19130,19165,19200,19204,19208,19212,19216,19220,19241.202,19316.084,19341.1,19366.1,19391.1,19416.1
Cuba,CUB,20580,20957,21334,21711,22088,22465,22842,23219,23596,23973,24350,24847,25344,25841,26338,26835,27332,27829,28326,28823,29320,29824,30328,30832,31336,31840,32410,32420,32420,32420,32420,32420
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Cyprus,CYP,1611.1,1621.6,1632.1,1642.6,1653.1,1663.6,1674.1,1684.6,1695.1,1705.6,1716.1,1717.33,1718.56,1719.79,1721.02,1722.25,1723.48,1724.71,1725.94,1727.17,1728.4,1728.14,1727.88,1727.62,1727.36,1727.1,1726.1,1725.9,1725.7,1725.5,1725.3,1725.1
Czechia,CZE,,,,26317.81,26325.68,26333.55,26341.42,26349.29,26357.16,26365.03,26372.9,26392.99,26413.08,26433.17,26453.26,26473.35,26493.44,26513.53,26533.62,26553.71,26573.8,26595.82,26617.84,26639.86,26661.88,26683.9,26698.5,26716.6,26734.7,26752.8,26770.9,26789
Denmark,DNK,5314.4,5354.56,5394.72,5434.88,5475.04,5515.2,5555.36,5595.52,5635.68,5675.84,5716,5730.89,5745.78,5760.67,5775.56,5790.45,5805.34,5820.23,5835.12,5850.01,5864.9,5941.28,6017.66,6094.04,6170.42,6246.8,6246.6,6256,6265.6,6275,6284.4,6293.8
Djibouti,DJI,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56.1,56.4,57,58,58.733
Dominica,DMA,503.1,500.66,498.22,495.78,493.34,490.9,488.46,486.02,483.58,481.14,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7
Dominican Republic,DOM,15948.9,16326.48,16704.06,17081.64,17459.22,17836.8,18214.38,18591.96,18969.54,19347.12,19724.7,19825.35,19926,20026.65,20127.3,20227.95,20328.6,20429.25,20529.9,20630.55,20731.2,20792.26,20853.32,20914.38,20975.44,21036.5,21117.4,21198.3,21279.2,21360.1,21441,21521.9
Ecuador,ECU,146322.1,145420.39,144518.68,143616.97,142715.26,141813.55,140911.84,140010.13,139108.42,138206.71,137305,136602.69,135900.38,135198.07,134495.76,133793.45,133091.14,132388.83,131686.52,130984.21,130281.9,129863.88,129445.86,129027.84,128609.82,128191.8,127549.1,126906.4,126263.7,125621,124978.3,124335.6
"Egypt, Arab Rep.",EGY,438.1,453.5,468.9,484.3,499.7,515.1,530.5,545.9,561.3,576.7,592.1,598.53,604.96,611.39,617.82,624.25,630.68,637.11,643.54,649.97,656.4,621.96,587.52,553.08,518.64,484.2,449.8,449.8,449.8,449.8,449.8,449.8
El Salvador,SLV,7188.8,7143.8,7098.8,7053.8,7008.8,6963.8,6918.8,6873.8,6828.8,6783.8,6738.8,6693.8,6648.8,6603.8,6558.8,6513.8,6468.8,6423.8,6378.8,6333.8,6288.8,6243.8,6198.8,6153.8,6108.8,6063.8,6018.8,5973.8,5928.8,5883.8,5838.8,5793.8
Equatorial Guinea,GNQ,26991.5,26907.93,26824.36,26740.79,26657.22,26573.65,26490.08,26406.51,26322.94,26239.37,26155.8,26072.23,25988.66,25905.09,25821.52,25737.95,25654.38,25570.81,25487.24,25403.67,25320.1,25236.52,25152.94,25069.36,24985.78,24902.2,24818.6,24735,24651.4,24567.8,24484.2,24400.6
Eritrea,ERI,,,,11405.8,11374.2,11342.6,11311,11279.4,11247.8,11216.2,11184.6,11153,11121.4,11089.8,11058.2,11026.6,10995,10963.4,10931.8,10900.2,10868.6,10837,10805.4,10773.8,10742.2,10710.6,10679,10647.4,10615.8,10584.2,10552.6,10521
Estonia,EST,,,22124.98,22157.97,22190.96,22223.95,22256.94,22289.93,22322.92,22355.91,22388.9,22486.03,22583.16,22680.29,22777.42,22874.55,22971.68,23068.81,23165.94,23263.07,23360.2,23530.18,23700.16,23870.14,24040.12,24210.1,24212.5,24384,24384,24384,24384,24384
Eswatini,SWZ,4611.4,4623.54,4635.68,4647.82,4659.96,4672.1,4684.24,4696.38,4708.52,4720.66,4732.8,4744.95,4757.1,4769.25,4781.4,4793.55,4805.7,4817.85,4830,4842.15,4854.3,4866.44,4878.58,4890.72,4902.86,4915,4927.2,4939.3,4951.4,4963.5,4975.6,4987.7
Ethiopia,ETH,204085.6,203324,202562.4,190395,189665,188935,188205,187475,186745,186015,185285,184555,183825,183095,182365,181635,180905,180175,179445,178715,177985,177255,176525,175795,175065,174335,173605,172875,172145,171415,170685,169955
Faroe Islands,FRO,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Fiji,FJI,9396.9,9463.68,9530.46,9597.24,9664.02,9730.8,9797.58,9864.36,9931.14,9997.92,10064.7,10131.47,10198.24,10265.01,10331.78,10398.55,10465.32,10532.09,10598.86,10665.63,10732.4,10799.16,10865.92,10932.68,10999.44,11066.2,11133,11199.8,11266.6,11333.4,11400.2,11467
Finland,FIN,218753.3,219323.61,219893.92,220464.23,221034.54,221604.85,222175.16,222745.47,223315.78,223886.09,224456.4,224252.76,224049.12,223845.48,223641.84,223438.2,223234.56,223030.92,222827.28,222623.64,222420,222754,223088,223422,223756,224090,224090,224090,224090,224090,224090,224090
France,FRA,144360,145212,146064,146916,147768,148620,149472,150324,151176,152028,152880,154011,155142,156273,157404,158535,159666,160797,161928,163059,164190,165024,165858,166692,167526,168360,169194,170028,170862,171696,172530,173364
French Polynesia,PYF,1444.3,1448.42,1452.54,1456.66,1460.78,1464.9,1469.02,1473.14,1477.26,1481.38,1485.5,1486.41,1487.32,1488.23,1489.14,1490.05,1490.96,1491.87,1492.78,1493.69,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6
Gabon,GAB,237616.2,237554.58,237492.96,237431.34,237369.72,237308.1,237246.48,237184.86,237123.24,237061.62,237000,236949.41,236898.82,236848.23,236797.64,236747.05,236696.46,236645.87,236595.28,236544.69,236494.1,236375.28,236256.46,236137.64,236018.82,235900,235781.2,235662.4,235543.6,235424.8,235306,235187.2
"Gambia, The",GMB,4146.6,4089.27,4031.94,3974.61,3917.28,3859.95,3802.62,3745.29,3687.96,3630.63,3573.3,3515.97,3458.64,3401.31,3343.98,3286.65,3229.32,3171.99,3114.66,3057.33,3000,2942.68,2885.36,2828.04,2770.72,2713.4,2656,2598.7,2541.4,2484,2426.7,2369.333
Georgia,GEO,,,27539.6,27547.9,27556.2,27564.5,27572.8,27581.1,27589.4,27597.7,27606,27667.8,27729.6,27791.4,27853.2,27915,27976.8,28038.6,28100.4,28162.2,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224,28224
Germany,DEU,113000,113054,113108,113162,113216,113270,113324,113378,113432,113486,113540,113595,113650,113705,113760,113815,113870,113925,113980,114035,114090,114110,114130,114150,114170,114190,114190,114190,114190,114190,114190,114190
Ghana,GHA,99242.6,98166.95,97091.3,96015.65,94940,93864.35,92788.7,91713.05,90637.4,89561.75,88486.1,87580.42,86674.74,85769.06,84863.38,83957.7,83052.02,82146.34,81240.66,80334.98,79429.3,79304.32,79179.34,79054.36,78929.38,78804.4,79222.4,79640.4,79712.6,79784.8,79857.1,79929.333
Gibraltar,GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,GRC,32985.51,33287.189,33588.867,33890.546,34192.224,34493.903,34795.582,35097.26,35398.939,35700.617,36002.296,36303.869,36605.443,36907.016,37208.59,37510.163,37811.736,38113.31,38414.883,38716.457,39018.03,39018.03,39018.03,39018.03,39018.03,39018.03,39018,39018,39018,39018,39018,39018
Greenland,GRL,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Grenada,GRD,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
Guam,GUM,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,242,244,246,248,250,280,280,280,280,280,280
Guatemala,GTM,47812,47240,46668,46096,45524,44952,44380,43808,43236,42664,42092,41605.4,41118.8,40632.2,40145.6,39659,39172.4,38685.8,38199.2,37712.6,37226,36952.4,36678.8,36405.2,36131.6,35858,35742,35626,35510,35394,35278,35162
Guinea,GIN,72760,72413,72066,71719,71372,71025,70678,70331,69984,69637,69290,68930,68570,68210,67850,67490,67130,66770,66410,66050,65690,65330,64970,64610,64250,63890,63490,63090,62690,62290,61890,61490
Guinea-Bissau,GNB,22333.3,22248.85,22164.4,22079.95,21995.5,21911.05,21826.6,21742.15,21657.7,21573.25,21488.8,21404.35,21319.9,21235.45,21151,21066.55,20982.1,20897.65,20813.2,20728.75,20644.3,20559.86,20475.42,20390.98,20306.54,20222.1,20137.7,20053.3,19968.9,19884.5,19800.1,19715.7
Guyana,GUY,186021.5,185983.57,185945.64,185907.71,185869.78,185831.85,185793.92,185755.99,185718.06,185680.13,185642.2,185597.79,185553.38,185508.97,185464.56,185420.15,185375.74,185331.33,185286.92,185242.51,185198.1,185081.2,184964.3,184847.4,184730.5,184613.6,184521.6,184429.5,184337.5,184245.4,184153.4,184061.333
Haiti,HTI,3829.2,3826.93,3824.66,3822.39,3820.12,3817.85,3815.58,3813.31,3811.04,3808.77,3806.5,3804.23,3801.96,3799.69,3797.42,3795.15,3792.88,3790.61,3788.34,3786.07,3783.8,3752.74,3721.68,3690.62,3659.56,3628.5,3597.4,3566.3,3535.2,3504.1,3473,3441.9
Honduras,HND,69877.8,69668.29,69458.78,69249.27,69039.76,68830.25,68620.74,68411.23,68201.72,67992.21,67782.7,67579.9,67377.1,67174.3,66971.5,66768.7,66565.9,66363.1,66160.3,65957.5,65754.7,65531.42,65308.14,65084.86,64861.58,64638.3,64430.5,64221.1,64011.6,63802.1,63592.6,63383.1
Hungary,HUN,18139,18246.27,18353.54,18460.81,18568.08,18675.35,18782.62,18889.89,18997.16,19104.43,19211.7,19336.92,19462.14,19587.36,19712.58,19837.8,19963.02,20088.24,20213.46,20338.68,20463.9,20492.76,20521.62,20550.48,20579.34,20608.2,20587.3,20572.7,20559.2,20544.7,20530.1,20515.567
Iceland,ISL,170.7,183.46,196.22,208.98,221.74,234.5,247.26,260.02,272.78,285.54,298.3,313.14,327.98,342.82,357.66,372.5,387.34,402.18,417.02,431.86,446.7,453.68,460.66,467.64,474.62,481.6,486.6,493.8,500.4,506.9,513.5,520.033
India,IND,639380,643033,646686,650339,653992,657645,661298,664951,668604,672257,675910,677815,679720,681625,683530,685435,687340,689245,691150,693055,694960,697624,700288,702952,705616,708280,710944,713608,716272,718936,721600,724264
Indonesia,IDN,1185450,1168185,1150920,1133655,1116390,1099125,1081860,1064595,1047330,1030065,1012800,1011179.2,1009558.4,1007937.6,1006316.8,1004696,1003075.2,1001454.4,999833.6,998212.8,996592,987329.4,978066.8,968804.2,959541.6,950279,952718,939498,933442.7,927387.3,921332,915276.633
"Iran, Islamic Rep.",IRN,90760.6,91010.2,91259.8,91509.4,91759,92008.6,92258.2,92507.8,92757.4,93007,93256.6,94622.92,95989.24,97355.56,98721.88,100088.2,101454.52,102820.84,104187.16,105553.48,106919.8,106919.8,106919.8,106919.8,106919.8,106919.8,107020.8,107105.9,107270.3,107434.7,107518.7,107656.3
Iraq,IRQ,8040,8054,8068,8082,8096,8110,8124,8138,8152,8166,8180,8187,8194,8201,8208,8215,8222,8229,8236,8243,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250
Ireland,IRL,4616.4,4785.12,4953.84,5122.56,5291.28,5460,5628.72,5797.44,5966.16,6134.88,6303.6,6393.62,6483.64,6573.66,6663.68,6753.7,6843.72,6933.74,7023.76,7113.78,7203.8,7272.38,7340.96,7409.54,7478.12,7546.7,7623.5,7700.2,7740.2,7780.2,7820.2,7860.2
Isle of Man,IMN,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6
